TRI Facility Name,TRI Facility ID,Year,ZIP Code,City,County,State,EPA Region,Chemical,DCN,Industry Sector,NAICS Code,Parent Company,Federal Facility Agency Name,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Score
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum oxide (fibrous forms) (1344-28-1),1319218240911,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"3,374,815.02",71.78,0.00,"3,369,360.10","5,383.14","3,393,786.02",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum oxide (fibrous forms) (1344-28-1),1320219146990,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"2,510,201.50",0.56,0.00,"2,510,200.94",0.00,"2,510,201.50",0
QUEMETCO INC,91745QMTCN720SO,2018,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1318217368240,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,991,616.35",3.47,0.28,0.00,"1,991,612.60","1,991,616.35",37
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1318217424694,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"1,896,599.48","2,730.41",0.00,"1,893,857.07",12.00,"1,896,599.48",22
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1319218240986,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,620,406.67",9.51,0.00,"1,617,165.06","3,232.10","1,620,523.12",0
SAPUTO CHEESE USA INC,93274KRFTG800EP,2018,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217125715,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"1,581,123.00",0.00,0.00,0.00,"1,581,123.00","1,581,123.00",0
SAPUTO CHEESE USA INC,93274KRFTG800EP,2019,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217893205,311 Food,311513 Cheese Manufacturing,SAPUTO CHEESE USA INC,       ,"1,522,292.48",0.00,0.00,0.00,"1,522,292.48","1,522,292.48",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2018,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217326469,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"1,435,280.00",0.00,"1,433,594.00",0.00,"1,686.00","1,435,280.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc (7440-66-6),1318217424845,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"1,350,154.61","1,217.23",0.00,"1,348,916.38",21.00,"1,376,377.89",1
QUEMETCO INC,91745QMTCN720SO,2019,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1319218409555,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,332,094.55",6.43,0.62,0.00,"1,332,087.50","1,332,094.55",55
QUEMETCO INC,91745QMTCN720SO,2020,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1320219188885,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"1,298,584.76",6.64,0.62,0.00,"1,298,577.50","1,298,584.76",56
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1318217203759,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,297,344.85",24.85,0.00,"1,297,320.00",0.00,"1,297,344.85","20,294"
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1318217424617,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"1,294,883.49",8.85,0.00,"1,294,874.64",0.00,"1,295,613.67","7,912"
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1320219147016,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,158,429.85",0.26,0.00,"1,158,429.59",0.00,"1,158,429.85",224
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ethylene glycol (107-21-1),1320219147079,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,133,768.00","21,925.83",0.00,"1,111,732.17",110.00,"1,133,769.90",1
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1318217203785,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"1,048,568.74",20.09,0.00,"1,048,535.18",13.47,"1,048,568.74",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2019,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218161356,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"994,971.00",0.00,"994,971.00",0.00,0.00,"994,971.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1319218240935,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"964,925.66",20.40,0.00,"964,905.27",0.00,"964,925.66","17,099"
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1319218240974,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"926,209.35",2.67,0.00,"925,846.13",360.55,"926,209.35",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2020,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1320219061330,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,"878,370.00","871,500.00",20.00,0.00,"6,850.00","886,450.00","3,081"
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,94510XXNCS3400E,2018,94510,"BENICIA, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318216848717,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,"824,763.86",0.00,"824,763.86",0.00,0.00,"824,763.86",0
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2020,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218959120,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,"810,000.00",0.00,"810,000.00",0.00,0.00,"1,180,000.00",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2019,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1319218149906,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,"798,630.00","791,800.00",30.00,0.00,"6,800.00","806,802.00","2,801"
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel compounds (N495),1319218241026,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"749,286.06",15.91,0.00,"745,388.01","3,882.13","749,286.06",73
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Methanol (67-56-1),1320219147105,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"734,440.18",0.08,0.00,"734,440.10",0.00,"734,950.11",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead and lead compounds (N420),1318217203811,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"707,277.05",13.55,0.00,"706,828.00",435.50,"707,277.05",1
TAMCO,91739TMCXX12459,2018,91739,"RANCHO CUCAMONGA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1318217388038,331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,COMMERCIAL METALS CO,       ,"705,374.61",282.67,13.55,0.00,"705,078.39","3,787,323.61",4
WM BOLTHOUSE FARMS INC,93307BLTHS72EBR,2018,93307,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217416229,311 Food,"311411 Frozen Fruit, Juice, and Vegetable Manufacturing",GENERIS HOLDINGS LP,       ,"665,891.00",0.00,0.00,0.00,"665,891.00","665,891.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper compounds (N100),1320219147055,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"654,659.81",0.15,0.00,"654,438.80",220.86,"654,659.81",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1319218436121,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"637,640.25",4.36,0.00,"637,635.89",0.00,"637,686.00","4,008"
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum oxide (fibrous forms) (1344-28-1),1318217203708,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"628,523.56",12.04,0.00,"628,511.52",0.00,"636,418.19",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1319218436261,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"615,137.88",43.97,0.00,"614,693.91",400.00,"615,137.88",7
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,94510XXNCS3400E,2019,94510,"BENICIA, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217762208,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,"612,899.00",0.00,"612,899.00",0.00,0.00,"612,899.00",0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2018,90745,"CARSON, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Ammonia (7664-41-7),1318217233612,324 Petroleum,324110 Petroleum Refineries,MARATHON PETROLEUM CORP,       ,"588,197.00","581,700.00",7.00,0.00,"6,490.00","596,091.00","2,060"
WM BOLTHOUSE FARMS INC,93307BLTHS72EBR,2019,93307,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218497814,311 Food,"311411 Frozen Fruit, Juice, and Vegetable Manufacturing",GENERIS HOLDINGS LP,       ,"581,036.00",0.00,0.00,0.00,"581,036.00","581,036.00",0
WM BOLTHOUSE FARMS INC,93307BLTHS72EBR,2020,93307,"BAKERSFIELD, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320219037316,311 Food,"311411 Frozen Fruit, Juice, and Vegetable Manufacturing",GENERIS HOLDINGS LP,       ,"579,800.00",0.00,0.00,0.00,"579,800.00","579,800.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2018,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel compounds (N495),1318217203835,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"572,278.55",10.87,0.00,"567,301.83","4,965.85","572,278.55",49
KRAFT HEINZ FOODS CO,93275LSRCH10800,2018,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318216841472,311 Food,311513 Cheese Manufacturing,THE KRAFT HEINZ CO,       ,"565,198.00",0.00,0.00,0.00,"565,198.00","565,198.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1319218436196,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"560,881.92",808.02,0.00,"560,063.90",10.00,"560,881.92",7
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2019,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218498994,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,"554,283.00",0.00,"554,283.00",0.00,0.00,"554,283.00",0
KRAFT HEINZ FOODS CO,93275LSRCH10800,2020,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218762401,311 Food,311513 Cheese Manufacturing,THE KRAFT HEINZ CO,       ,"536,511.00",0.00,0.00,0.00,"536,511.00","536,511.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1320219305962,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"535,795.73",38.30,0.00,"535,715.23",42.20,"535,798.33",6
KRAFT HEINZ FOODS CO,93275LSRCH10800,2019,93274,"TULARE, CA","TULARE, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319217729060,311 Food,311513 Cheese Manufacturing,THE KRAFT HEINZ CO,       ,"526,912.00",0.00,0.00,0.00,"526,912.00","526,912.00",0
QUEMETCO INC,91745QMTCN720SO,2018,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Antimony and antimony compounds (N010),1318217368202,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"522,520.40",0.00,0.01,0.00,"522,520.39","522,520.40",2
COAST PLATING INC,90248NCMTL417WE,2020,90248,"GARDENA, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Chromium and chromium compounds (N090),1320218696995,332 Fabricated Metals,"332813 Electroplating, Plating, Polishing, Anodizing, and Coloring",VALENCE SURFACE TECHNOLOGIES LLC,       ,"514,268.35",0.01,0.74,0.00,"514,267.60","514,268.35","4,215"
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2020,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320219375627,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,"503,939.00",0.00,"503,939.00",0.00,0.00,"503,939.00",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nickel compounds (N495),1320219147117,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"500,474.17",0.11,0.00,"500,436.98",37.08,"500,474.17",1
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum (fume or dust) (7429-90-5),1320219305796,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"495,619.77",36.03,0.00,"495,583.74",0.00,"500,349.85",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper (7440-50-8),1320219305897,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"486,687.15",700.64,0.00,"485,983.51",3.00,"486,687.15",6
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2020,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1320219147156,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"480,553.74",0.11,0.00,"480,553.57",0.06,"480,553.74",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc (7440-66-6),1320219306040,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"478,347.72",431.25,0.00,"477,912.47",4.00,"608,214.93",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2018,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead (7439-92-1),1318217424757,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"476,546.24",34.26,0.00,"476,439.88",72.10,"476,546.24",5
VALERO REFINING CO-CALI FORNIA BENICIA REFINERY,94510XXNCS3400E,2020,94510,"BENICIA, CA","SOLANO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320219303524,324 Petroleum,324110 Petroleum Refineries,VALERO ENERGY CORP,       ,"456,430.20",0.00,"456,430.20",0.00,0.00,"456,430.20",0
QUEMETCO INC,91745QMTCN720SO,2019,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Antimony and antimony compounds (N010),1319218409516,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"453,484.94",0.00,0.04,0.00,"453,484.90","453,484.94",1
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Lead compounds (N420),1319218241002,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"451,750.98",0.67,0.00,"450,145.82","1,604.50","451,750.98",0
QUEMETCO INC,91745QMTCN720SO,2020,91746,"CITY OF INDUSTRY, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Antimony and antimony compounds (N010),1320219188846,331 Primary Metals,"331492 Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",QUEXCO INC,       ,"451,604.94",0.00,0.04,0.00,"451,604.90","451,604.94",1
PHILLIPS 66 SAN FRANCISCO REFINERY,94572NCLSNOLDHI,2018,94572,"RODEO, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217522440,324 Petroleum,324110 Petroleum Refineries,PHILLIPS 66 CO,       ,"447,768.00",0.00,"447,768.00",0.00,0.00,"447,768.00",0
CHEVRON PRODUCTS CO RICHMOND REFINERY,94802CHVRN841ST,2018,94801,"RICHMOND, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1318217440510,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"440,000.00",0.00,"440,000.00",0.00,0.00,"880,000.00",0
CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC,90245CHVRN324WE,2020,90245,"EL SEGUNDO, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1320218837589,324 Petroleum,324110 Petroleum Refineries,CHEVRON CORP,       ,"433,900.00",0.00,"433,900.00",0.00,0.00,"433,900.00",0
TAMCO,91739TMCXX12459,2019,91739,"RANCHO CUCAMONGA, CA","SAN BERNARDINO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319218479828,331 Primary Metals,331110 Iron and Steel Mills and Ferroalloy Manufacturing,COMMERCIAL METALS CO,       ,"418,696.00",208.00,32.00,0.00,"418,456.00","2,562,373.00",3
MARTINEZ REFINING CO LLC,94553SHLLL3485P,2019,94553,"MARTINEZ, CA","CONTRA COSTA, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Nitrate compounds (N511),1319218433732,324 Petroleum,324110 Petroleum Refineries,PBF ENERGY INC,       ,"400,000.00",0.00,"400,000.00",0.00,0.00,"580,000.00",0
M ARGUESO & CO INC,91770MRGSC2628R,2019,91770,"ROSEMEAD, CA","LOS ANGELES, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)","4,4'-Isopropylidenediphenol (80-05-7)",1319218042911,325 Chemicals,325998 All Other Miscellaneous Chemical Product and Preparation Manufacturing,M ARGUESO & CO INC,       ,"376,290.20",2.20,0.00,"376,283.00",5.00,"376,290.20",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc (7440-66-6),1319218436335,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"372,342.54",336.18,0.00,"371,987.36",19.00,"413,149.11",0
CLEAN HARBORS BUTTONWILLOW LLC,93206SFTYK2500W,2019,93206,"BUTTONWILLOW, CA","KERN, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Zinc compounds (N982),1319218241091,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,CLEAN HARBORS INC,       ,"372,151.56",8.11,0.00,"371,899.90",243.54,"372,151.56",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2020,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Asbestos (friable) (1332-21-4),1320219305822,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"364,351.61",2.49,0.00,"364,349.12",0.00,"365,003.98","2,352"
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Barium (7440-39-3),1319218436133,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"360,892.41",50.84,0.00,"360,784.57",57.00,"410,096.49",2
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2019,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1319217930294,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"334,939.00",0.00,0.00,0.00,"334,939.00","340,255.00",0
PROCTER & GAMBLE MFG CO,95826PRCTR8201F,2018,95826,"SACRAMENTO, CA","SACRAMENTO, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Copper and copper compounds (N100),1318217200815,325 Chemicals,325199 All Other Basic Organic Chemical Manufacturing,THE PROCTER & GAMBLE CO,       ,"329,425.00",0.00,0.00,0.00,"329,425.00","329,425.00",0
CHEMICAL WASTE MANAGEMENT INC,93239CHMCL35251,2019,93239,"KETTLEMAN CITY, CA","KINGS, CA",California,"Region 9 (AZ, CA, HI, NV, AS, MP, GU, TT)",Aluminum (fume or dust) (7429-90-5),1319218436107,562 Hazardous Waste,562211 Hazardous Waste Treatment and Disposal,WASTE MANAGEMENT INC,       ,"312,706.00",23.47,0.00,"312,682.53",0.00,"561,023.58",0
